# StartTime = 10-06-2025 10:17:22.1798 PM
Time (sec), Vehicle speed (km/h), Acceleration (g), Total Fuel Economy (l/100 km), Engine Power (hp), Fuel Rate (l/hr), Total CO2 (kg), CO2 flow (g/s), Instant Fuel Economy (l/100 km), Instant CO2 rate (g/km), Mass air flow rate (g/s), Fuel/Air commanded equivalence ratio, Barometric pressure (psi), Support of intake manifold absolute pressure data, Intake manifold absolute pressure A (psi), Boost (psi), Engine RPM (RPM), Engine Torque (N•m), Latitude (deg), Longitude (deg)
38.382,0,5.658629E-17,26.661621,164.24864,45.346344,11.657503,29.572075,0,0,133.34,0.999424,14.213698,1,25.843912,11.630214,3072.25,372.53986,44.010986,-78.94588
38.742,0,5.658629E-17,26.685434,160.72885,44.374588,11.667915,28.938356,0,0,134.36,0.999424,14.213698,1,25.794056,11.580357,3068.75,375.81778,44.010986,-78.94588
39.102,3,0.11802388,26.709435,161.95837,44.71404,11.678409,29.159725,0,0,137.75,0.999424,14.213698,1,28.368475,14.154777,3001.5,393.93277,44.010986,-78.94588
39.464,11,0.4332144,26.733866,166.0447,45.842205,11.68928,29.895445,1528.0724,35874.535,159.88,0.999424,14.068661,1,30.788792,16.72013,3173.75,432.40457,44.010986,-78.94588
39.823,20,0.66904336,26.760567,192.72034,53.20691,11.701644,34.69825,483.69882,11355.791,175.7,0.999424,14.068661,1,32.85558,18.786919,3484.75,432.7818,44.010986,-78.94588
40.181,27,0.6306934,26.789091,211.78986,58.47169,11.715375,38.131615,292.35825,6863.6904,188.48,0.967216,14.068661,1,32.529243,18.460585,3820.25,423.4892,44.010975,-78.94587
40.773,34,0.5394203,26.818756,227.19495,62.724785,11.730039,40.905216,232.31384,5454.029,203.22,0.856928,13.923623,1,30.263031,16.339407,5002.75,360.2905,44.010975,-78.94587
41.147,47,0.4879132,26.852692,253.11981,69.88221,11.7471285,45.57285,205.53577,4825.3604,231.92,0.774944,13.923623,1,28.586031,14.662409,5460.25,425.20657,44.01086,-78.945816
41.770,52,0.41908896,26.947966,326.04462,90.01555,11.795554,58.702564,191.52231,4496.3667,235.83,0.774944,13.923623,1,27.167381,13.243758,5714.75,456.82526,44.01086,-78.945816
42.137,56,0.3283894,26.994585,366.61642,101.21675,11.819304,66.00729,194.64746,4569.736,237.39,0.733952,13.923623,1,27.597961,13.674339,4733.25,555.20233,44.01086,-78.945816
42.558,60,0.2857277,27.048893,369.04156,101.8863,11.847238,66.44393,181.93968,4271.3955,215.24,0.733952,14.068661,1,30.195044,16.126383,4460.25,564.04626,44.01086,-78.945816
42.938,64,0.285568,27.095589,353.2958,97.539154,11.871665,63.608994,162.56514,3816.5396,218.27,0.742736,14.068661,1,31.56837,17.49971,4708.5,541.8292,44.01086,-78.945816
43.330,68,0.28238305,27.145124,358.26926,98.91225,11.898139,64.50444,154.55026,3628.3745,228.98,0.769088,13.923623,1,31.536644,17.61302,4935.25,535.88617,44.01063,-78.94572
43.717,71,0.26369265,27.194172,371.40372,102.53845,11.924255,66.869225,150.79173,3540.1353,235.39,0.768112,13.923623,1,30.979155,17.05553,5115.75,513.2409,44.01063,-78.94572
44.121,75,0.25900143,27.238739,368.7187,101.79716,11.948423,66.385796,143.37617,3366.0403,237.45,0.765184,13.923623,1,29.972956,16.049332,5311.5,499.2856,44.010498,-78.945656
44.525,79,0.2744383,27.288687,372.41812,102.818504,11.975612,67.05186,137.09125,3218.4893,236.79,0.765184,13.923623,1,29.093664,15.170041,5492.75,483.31055,44.010498,-78.945656
44.928,82,0.23685656,27.340446,372.80408,102.925064,12.004404,67.121346,130.28479,3058.6943,239.6,0.765184,13.923623,1,28.354877,14.431255,5666.25,474.07147,44.010498,-78.945656
45.312,85,0.21850105,27.387678,377.22815,104.146484,12.031032,67.917885,127.00781,2981.7607,239.81,0.765184,13.923623,1,28.082932,14.159309,5793.5,464.06522,44.010498,-78.945656
45.698,87,0.18843089,27.435062,377.55878,104.23776,12.0575695,67.97741,122.63257,2879.0432,247.05,0.735904,13.923623,1,28.681213,14.757589,4828.75,573.59174,44.010498,-78.945656
46.069,90,0.17955025,27.47949,388.9575,107.38476,12.082937,70.029686,123.430664,2897.78,221.3,0.733952,13.923623,1,32.53378,18.610155,4329,595.92456,44.010498,-78.945656
46.475,93,0.22309126,27.524675,362.2792,100.019325,12.109405,65.2264,111.1325,2609.0562,217.23,0.733952,13.923623,1,32.728672,18.80505,4454.75,569.964,44.010498,-78.945656
